User,Tweet Count,Tweet Text,Date,Compound,Positive,Neutral,Negative
@BBC,41,What can Dr Love teach you about sex? https://t.co/yFkp8NHiV8,2018-02-02 08:40:01+00:00,0.6369,0.344,0.0,0.656
@BBC,42,"Alex La Guma was an activist writer from Cape Town who fought for freedom and stood trial with Nelson Mandela.
?… https://t.co/fqEcmbE9n4",2018-02-02 08:20:04+00:00,0.4404,0.158,0.087,0.755
@BBC,43,? A look into the world of incredibly life-like dolls known as 'reborn babies'. https://t.co/1IqNb832Me,2018-02-02 08:00:02+00:00,0.0,0.0,0.0,1.0
@BBC,44,"? Why did our ancestors eat meat? ?
? https://t.co/mujexNvff4 https://t.co/leiebK58dy",2018-02-02 07:39:03+00:00,0.0,0.0,0.0,1.0
@BBC,45,"RT @BBCSpringwatch: White stoat taking an egg for a walk!

This beautiful stoat in ermine stole 14 eggs from a house in Dalwhinnie! 

#Wint…",2018-02-01 20:05:41+00:00,0.6688,0.176,0.0,0.824
@BBC,46,RT @BBCNewsbeat: When you realise it's no longer January https://t.co/7zUxH8lzBI,2018-02-01 20:03:14+00:00,-0.296,0.0,0.196,0.804
@BBC,47,"RT @bbcgetinspired: Quick! Get your five-a-side team together and sign up for the #FAPeoplesCup

What are you waiting for? ? https://t.co/c…",2018-02-01 20:02:07+00:00,0.0,0.0,0.0,1.0
@BBC,48,"RT @BBCBreakfast: Happiness at school is more important than academic qualifications.
That's according to a major report from the @LSEnews…",2018-02-01 20:01:47+00:00,0.6901,0.251,0.0,0.749
@BBC,49,? Wildlife film-maker @gordonjbuchanan explores the secret lives of animals through their eyes.… https://t.co/f4YdvUCcae,2018-02-01 19:00:06+00:00,0.0,0.0,0.0,1.0
@BBC,50,"Get yourself a quick protein fix with these delicious recipes. ?
? https://t.co/y3M30b6Y1x https://t.co/C5a26fXNfO",2018-02-01 18:30:08+00:00,0.5719,0.27,0.0,0.73
@BBC,51,"RT @cbbc: The lovely @NewHopeClub helped #BluePeter open the amazing #birthday post for the 5000 show!

#mail #post #boyband #thursdaythoug…",2018-02-01 18:04:00+00:00,0.8356,0.305,0.0,0.695
@BBC,52,?? Meet the 'Salmon Sisters' - two fisherwomen braving rough seas to make a living. https://t.co/Gvgna1ox33,2018-02-01 18:01:01+00:00,0.0,0.0,0.0,1.0
@BBC,53,RT @bbc5live: “It isn’t about keeping us off the streets. It is about giving us the same opportunity to do whatever anyone else is doing.”…,2018-02-01 17:32:28+00:00,0.6369,0.184,0.0,0.816
@BBC,54,"???? How well would you do on a Harry Potter Mastermind round?
? https://t.co/8RXB6xezdW https://t.co/RbA7Badqxa",2018-02-01 17:30:11+00:00,0.2732,0.149,0.0,0.851
@BBC,55,"RT @BBC6Music: ""...your whole skin is like an eardrum... "" 
Before visiting @LaurenLaverne, David Byrne (@DBtodomundo) watched the BBC's Bl…",2018-02-01 17:07:07+00:00,0.3612,0.122,0.0,0.878
@BBC,56,"If you're still struggling to do the downward dog, you've got your work cut out. She's 98 by the way. ?? https://t.co/6HBcSsungS",2018-02-01 17:02:02+00:00,-0.5994,0.0,0.197,0.803
@BBC,57,"?? Remember this classic moment? 

?? The 5,000th episode of #BluePeter is at 5.30pm today!   https://t.co/NqcikyNKEU",2018-02-01 15:30:03+00:00,0.0,0.0,0.0,1.0
@BBC,58,"'It was very uplifting.'

??? A new play is recreating the final months of David Bowie's life. ?… https://t.co/wifJm3f7sC",2018-02-01 14:53:04+00:00,0.34,0.124,0.0,0.876
@BBC,59,A killer whale that can mimic words such as 'hello' and 'bye bye' is thought to be the first of its kind to copy hu… https://t.co/Bqm8LkHeoF,2018-02-01 14:00:11+00:00,-0.2263,0.111,0.14,0.749
@BBC,60,"RT @BBCRadio2: ? ""If you're always reacting to stuff coming in, you're not often having your own original thoughts""

On #TimeToTalk Day, @j…",2018-02-01 13:40:09+00:00,0.3182,0.099,0.0,0.901
@BBC,61,"? For 32 years, fake news stopped women competing in track events at the Olympics.
#QI https://t.co/X191YVfhTt",2018-02-01 13:33:02+00:00,-0.6124,0.0,0.263,0.737
@BBC,62,"RT @bbccomedy: #BigCats is a lot weirder than we thought tbh, @BBCOne . ? https://t.co/8m0BNrP0pi",2018-02-01 13:23:42+00:00,-0.128,0.0,0.12,0.88
@BBC,63,"RT @BBCSpringwatch: Cairngorms - A Wintery Wildlife Wonderland

#Winterwatch https://t.co/bLFBP6u29f",2018-02-01 13:23:03+00:00,0.0,0.0,0.0,1.0
@BBC,64,"RT @cbbc: We want 5000 loves for 5000 #BluePeter shows! Like &amp; share if you had a badge or loved it!

@RealSarahGreene @missjanetellis @Mar…",2018-02-01 13:19:16+00:00,0.9214,0.441,0.0,0.559
@BBC,65,"RT @bbcworldservice: ""People ask me if I shower in my hijab."" #WorldHijabDay https://t.co/HRIaGg3xkb",2018-02-01 13:09:56+00:00,0.0,0.0,0.0,1.0
@BBC,66,?? A group of students have used the power of maths to create the perfect roast potato and now we're really hungry.… https://t.co/oPVWhZ4UXL,2018-02-01 13:00:07+00:00,0.7003,0.225,0.0,0.775
@BBC,67,"RT @bbcthree: Meet #TheYoungOffenders. They're sort of like that Robin Hood fella; they rob bikes from the rich, and sell them back to 'em.…",2018-02-01 12:37:56+00:00,0.2975,0.191,0.118,0.691
@BBC,68,"RT @bbcgetinspired: Think you can do better than the England women? - sign up for the #FAPeoplesCup

All the details you need are here: htt…",2018-02-01 12:34:29+00:00,0.4404,0.112,0.0,0.888
@BBC,69,Could starting an avalanche save your life? https://t.co/iAegidgaOg,2018-02-01 12:30:09+00:00,0.4939,0.314,0.0,0.686
@BBC,70,"Why are wild theories about contrails and other phenomena so persistent on social media?
? https://t.co/wENYkqooCP https://t.co/CpODezFnhh",2018-02-01 12:00:11+00:00,0.0,0.0,0.0,1.0
@BBC,71,Here's what the #SuperBlueBloodMoon looked like around the world last night. ? ? https://t.co/204X0f0Auc https://t.co/j1ZtOLrWUM,2018-02-01 11:31:08+00:00,0.3612,0.172,0.0,0.828
@BBC,72,"??? Which of these garden birds are you most like? Take this quiz and find out!
? https://t.co/dzO2BXY4lj https://t.co/l3cvAQdpXQ",2018-02-01 10:48:03+00:00,0.474,0.154,0.0,0.846
@BBC,73,"?? Happy 24th birthday to this talented guy!
#HappyBirthdayHarry https://t.co/tfH8uFZ5Q3",2018-02-01 10:39:17+00:00,0.8346,0.496,0.0,0.504
@BBC,74,"Mental illnesses often have invisible symptoms. Can VR help people show what's going on inside their heads, for rea… https://t.co/jaTJNrcqTG",2018-02-01 10:00:06+00:00,-0.128,0.113,0.134,0.753
@BBC,75,"? From Monica McWilliams to Madeha Al Ajroush, here are five remarkable women who broke the glass ceiling. 
?… https://t.co/BNnV6PuRM1",2018-02-01 09:29:03+00:00,0.2023,0.154,0.12,0.726
@BBC,76,?? #SuperBlueBloodMoon provides astronomical spectacle around the world. https://t.co/0WpmgfppC4,2018-02-01 09:00:03+00:00,0.0,0.0,0.0,1.0
